Name,BPS,PER,PBR,EPS,DIV,DPS
영풍제지,3320.0,15.39,0.9,194.0,26.1,779.0
일성신약,60174.0,1.52,0.36,14122.0,18.63,4005.0
바이오노트,15707.0,1.28,0.27,3277.0,11.67,490.0
LX인터내셔널,62867.0,2.07,0.47,14325.0,10.14,3000.0
이노션,21241.0,12.1,1.01,1765.0,10.07,2150.0
금호건설,15149.0,9.25,0.36,587.0,9.21,500.0
우리금융지주,39505.0,3.07,0.33,4191.0,8.78,1130.0
BNK금융지주,30468.0,2.97,0.23,2404.0,8.77,625.0
한양증권,36091.0,5.12,0.26,1858.0,8.41,800.0
대신증권,40616.0,8.23,0.35,1750.0,8.33,1200.0
에스디바이오센서,28794.0,1.33,0.42,8997.0,8.25,990.0
동부건설,25542.0,3.49,0.24,1737.0,8.24,500.0
동아타이어,27514.0,6.97,0.44,1747.0,8.22,1000.0
디씨엠,28881.0,2.68,0.38,4097.0,8.18,900.0
기업은행,36302.0,3.55,0.33,3320.0,8.14,960.0
JB금융지주,23551.0,3.45,0.44,2996.0,8.07,835.0
하나금융지주,124935.0,3.53,0.33,11803.0,8.03,3350.0
GS건설,56917.0,4.06,0.29,3997.0,8.0,1300.0
S-Oil,75353.0,3.82,0.92,18075.0,7.96,5500.0
DGB금융지주,31812.0,3.73,0.27,2266.0,7.68,650.0
삼성카드,73934.0,5.6,0.44,5831.0,7.66,2500.0
화천기공,156939.0,1.92,0.21,17039.0,7.66,2500.0
신원,2866.0,5.87,0.46,224.0,7.6,100.0
HD현대,105921.0,3.04,0.57,19933.0,7.6,4600.0
한국쉘석유,86889.0,11.85,2.8,20555.0,7.39,18000.0
쌍용C&E,3172.0,23.54,1.89,254.0,7.36,440.0
한국토지신탁,4503.0,11.75,0.28,106.0,7.22,90.0
아이마켓코리아,11376.0,11.83,0.73,706.0,7.19,600.0
HMM,42300.0,0.82,0.4,20556.0,7.15,1200.0
광주신세계,99270.0,4.3,0.31,7157.0,7.15,2200.0
세아특수강,40593.0,6.48,0.35,2185.0,7.06,1000.0
케이카,5112.0,17.12,2.11,631.0,7.04,760.0
한일홀딩스,46069.0,3.93,0.25,2904.0,7.02,800.0
휴스틸,16181.0,0.89,0.31,5675.0,6.9,350.0
부국증권,116987.0,4.59,0.19,4736.0,6.9,1500.0
유수홀딩스,13726.0,4.82,0.43,1218.0,6.81,400.0
NH투자증권,21824.0,11.69,0.47,881.0,6.8,700.0
CR홀딩스,21609.0,5.2,0.31,1279.0,6.77,450.0
한솔제지,31224.0,3.37,0.33,3104.0,6.7,700.0
한국자산신탁,7620.0,3.72,0.43,885.0,6.69,220.0
신영증권,188226.0,5.08,0.32,11893.0,6.62,4000.0
SK텔레콤,51911.0,12.29,0.97,4118.0,6.56,3320.0
효성,128334.0,87.91,0.54,786.0,6.51,4500.0
동일산업,192642.0,4.57,0.24,10085.0,6.51,3000.0
태영건설,19502.0,2.16,0.18,1607.0,6.47,225.0
현대차증권,38617.0,3.27,0.22,2654.0,6.34,550.0
현대해상,53896.0,4.38,0.58,7099.0,6.32,1965.0
대덕,17890.0,11.64,0.36,549.0,6.26,400.0
HS애드,10892.0,5.94,0.59,1077.0,6.25,400.0
LG유플러스,18996.0,6.75,0.55,1543.0,6.24,650.0
KPX케미칼,122776.0,7.35,0.36,6015.0,6.22,2750.0
HL홀딩스,102608.0,103.98,0.32,314.0,6.13,2000.0
진양홀딩스,6258.0,7.23,0.52,452.0,6.12,200.0
AJ네트웍스,8076.0,22.16,0.55,201.0,6.06,270.0
효성ITX,5956.0,9.91,2.09,1254.0,6.03,750.0
텔코웨어,19820.0,14.53,0.5,688.0,6.0,600.0
TYM,7778.0,2.21,0.64,2262.0,6.0,300.0
GS,133899.0,1.86,0.31,22634.0,5.95,2500.0
HDC랩스,11339.0,14.05,0.67,538.0,5.95,450.0
대한제강,38135.0,1.99,0.34,6605.0,5.94,780.0
롯데정밀화학,90075.0,10.26,0.65,5738.0,5.94,3500.0
현대홈쇼핑,171103.0,5.81,0.26,7541.0,5.93,2600.0
E1,249560.0,2.49,0.24,24536.0,5.9,3600.0
한국주철관,15912.0,12.16,0.43,559.0,5.88,400.0
자이에스앤디,12735.0,2.09,0.4,2447.0,5.86,300.0
KCC글라스,90484.0,6.99,0.46,5894.0,5.83,2400.0
KT,64880.0,6.45,0.52,5209.0,5.83,1960.0
KPX홀딩스,210854.0,22.94,0.25,2267.0,5.77,3000.0
스카이라이프,17321.0,12.98,0.35,470.0,5.74,350.0
KB금융,124124.0,4.7,0.41,10955.0,5.73,2950.0
SGC에너지,48174.0,3.67,0.62,8093.0,5.72,1700.0
일신방직,39009.0,1.74,0.23,5047.0,5.69,500.0
제일기획,11967.0,10.59,1.69,1913.0,5.68,1150.0
신라교역,35416.0,9.82,0.25,899.0,5.66,500.0
SIMPAC,11050.0,2.57,0.32,1381.0,5.63,200.0
신한지주,95206.0,4.35,0.39,8454.0,5.62,2065.0
DB손해보험,89508.0,5.0,0.92,16373.0,5.62,4600.0
KT&G,80114.0,10.48,1.11,8489.0,5.62,5000.0
현대지에프홀딩스,20860.0,5.88,0.18,640.0,5.59,210.0
동국홀딩스,34362.0,2.0,0.26,4474.0,5.57,500.0
하이트진로홀딩스,26118.0,6.33,0.35,1427.0,5.54,500.0
코리안리,19585.0,8.07,0.4,965.0,5.52,430.0
한국전자홀딩스,3242.0,2.49,0.28,369.0,5.44,50.0
화승인더,6884.0,204.12,0.5,17.0,5.42,188.0
삼호개발,9788.0,13.26,0.36,265.0,5.41,190.0
삼성화재,276525.0,8.55,0.93,30113.0,5.36,13800.0
롯데지주,100489.0,11.73,0.28,2387.0,5.36,1500.0
대현,5480.0,3.61,0.38,574.0,5.31,110.0
LX세미콘,58432.0,5.92,1.46,14368.0,5.29,4500.0
제이에스코퍼레이션,20205.0,3.23,0.82,5118.0,5.14,850.0
LF,51612.0,2.56,0.27,5351.0,5.11,700.0
한세예스24홀딩스,10535.0,9.01,0.46,543.0,5.11,250.0
한온시스템,4190.0,186.84,1.69,38.0,5.07,360.0
삼양홀딩스,240995.0,7.58,0.29,9173.0,5.04,3500.0
기신정기,8601.0,20.3,0.35,150.0,4.93,150.0
인터지스,8867.0,2.25,0.28,1092.0,4.89,120.0
쿠쿠홀딩스,31140.0,4.4,0.53,3755.0,4.85,800.0
무림P&P,10484.0,4.36,0.3,721.0,4.78,150.0
삼영무역,26238.0,4.11,0.48,3054.0,4.78,600.0
유화증권,10892.0,34.4,0.21,67.0,4.77,110.0
