Name,BPS,PER,PBR,EPS,DIV,DPS
삼성전자,57822,9.01,1.26,8057,1.99,1444
LG에너지솔루션,80052,130.07,5.37,3306,0.0,0
SK하이닉스,92004,40.44,1.42,3242,0.92,1200
삼성바이오로직스,126233,62.23,5.64,11442,0.0,0
삼성전자우,0,0.0,0.0,0,2.46,1445
POSCO홀딩스,692323,11.46,0.69,41456,2.53,12000
현대차,407147,6.37,0.45,28521,3.85,7000
NAVER,151646,42.04,1.39,5007,0.43,914
기아,98117,6.23,0.86,13495,4.16,3500
LG화학,445524,19.98,1.06,23670,2.11,10000
삼성SDI,251948,15.06,1.74,29191,0.23,1030
포스코퓨처엠,31922,227.9,10.9,1527,0.09,300
셀트리온,28937,43.35,5.62,3751,0.23,375
카카오,22893,16.36,2.22,3106,0.12,60
삼성물산,164524,9.67,0.73,12460,1.91,2300
현대모비스,410816,8.3,0.55,27163,1.77,4000
KB금융,124124,4.7,0.41,10955,5.73,2950
신한지주,95206,4.35,0.39,8454,5.62,2065
LG전자,116599,15.3,0.87,6640,0.69,700
삼성생명,124081,7.88,0.56,8817,4.32,3000
SK이노베이션,229593,7.46,0.59,18214,4.3,5840
LG,164082,6.63,0.5,12422,3.64,3000
삼성에스디에스,106311,11.51,1.54,14218,1.95,3200
한국전력,63158,0.0,0.3,0,0.0,0
SK,391404,8.56,0.43,19547,2.99,5000
삼성화재,276525,8.55,0.93,30113,5.36,13800
하나금융지주,124935,3.53,0.33,11803,8.03,3350
카카오뱅크,11988,45.93,2.12,553,0.31,80
KT&G,80114,10.48,1.11,8489,5.62,5000
HD현대중공업,59566,0.0,2.25,0,0.0,0
메리츠금융지주,27050,6.66,2.07,8406,0.19,105
HMM,42300,0.82,0.4,20556,7.15,1200
SK텔레콤,51911,12.29,0.97,4118,6.56,3320
삼성전기,103702,11.18,1.4,12977,1.45,2100
고려아연,455251,12.06,1.14,42967,3.86,20000
크래프톤,108962,20.44,2.0,10666,0.0,0
두산에너빌리티,11146,0.0,1.4,0,0.0,0
우리금융지주,39505,3.07,0.33,4191,8.78,1130
포스코인터내셔널,32288,11.49,1.7,4780,1.82,1000
기업은행,36302,3.55,0.33,3320,8.14,960
에코프로머티,5428,467.69,25.33,294,0.0,0
하이브,66995,165.22,3.12,1265,0.0,0
KT,64880,6.45,0.52,5209,5.83,1960
대한항공,24426,4.72,0.93,4787,3.32,750
한화오션,6170,0.0,4.37,0,0.0,0
HD한국조선해양,137382,0.0,0.83,0,0.0,0
S-Oil,75353,3.82,0.92,18075,7.96,5500
아모레퍼시픽,82107,65.26,1.55,1949,0.53,680
삼성중공업,4209,0.0,1.93,0,0.0,0
한화에어로스페이스,56612,34.89,2.44,3964,0.72,1000
SK스퀘어,118972,27.03,0.42,1837,0.0,0
금양,2188,0.0,53.43,0,0.0,0
SK바이오팜,4042,0.0,21.35,0,0.0,0
롯데케미칼,404799,91.14,0.39,1716,2.24,3500
현대글로비스,183094,5.57,0.96,31729,3.23,5700
엔씨소프트,157391,13.1,1.79,21456,2.38,6680
카카오페이,13583,112.29,3.36,407,0.0,0
한미반도체,4008,63.68,14.92,939,0.33,200
DB손해보험,89508,5.0,0.92,16373,5.62,4600
한국타이어앤테크놀로지,72196,8.05,0.63,5658,1.76,800
SK아이이테크놀로지,30501,0.0,2.58,0,0.0,0
한화솔루션,47292,17.38,0.69,1873,0.0,0
LG이노텍,180261,5.7,1.31,41406,1.76,4150
맥쿼리인프라
SK바이오사이언스,22683,43.11,3.03,1596,0.0,0
코스모신소재,8099,179.47,19.97,901,0.0,0
두산로보틱스,880,0.0,90.8,0,0.0,0
LG생활건강,364213,22.99,0.89,14112,1.23,4000
삼성엔지니어링,13741,7.44,1.84,3392,0.0,0
넷마블,66649,0.0,0.86,0,0.0,0
HD현대,105921,3.04,0.57,19933,7.6,4600
현대오토에버,53924,41.79,3.22,4154,0.66,1140
CJ제일제당,459670,8.48,0.69,37188,1.74,5500
현대제철,142260,4.56,0.25,7736,2.83,1000
한국항공우주,14648,39.55,3.28,1215,0.52,250
유한양행,28354,45.82,2.15,1329,0.66,400
오리온,64606,11.61,1.78,9926,0.82,950
LG유플러스,18996,6.75,0.55,1543,6.24,650
LG디스플레이,27611,0.0,0.45,0,0.0,0
두산밥캣,50136,6.77,0.87,6421,3.11,1350
미래에셋증권,21818,6.95,0.33,1033,2.79,200
현대건설,69028,9.77,0.52,3637,1.69,600
현대차2우B,0,0.0,0.0,0,6.55,7100
GS,133899,1.86,0.31,22634,5.95,2500
한미약품,70131,46.18,4.38,6648,0.16,500
코웨이,31887,8.19,1.62,6314,2.51,1300
한온시스템,4190,186.84,1.69,38,5.07,360
삼성카드,73934,5.6,0.44,5831,7.66,2500
SKC,50774,0.0,1.87,0,1.16,1100
금호석유,234861,3.37,0.53,37290,4.3,5400
한진칼,37047,5.19,1.42,10143,0.32,170
삼성증권,69383,8.22,0.56,4730,4.37,1700
NH투자증권,21824,11.69,0.47,881,6.8,700
강원랜드,16846,27.54,0.93,570,2.23,350
한국금융지주,145614,5.47,0.41,10900,3.86,2300
현대미포조선,53525,0.0,1.53,0,0.0,0
현대로템,13930,16.06,2.09,1812,0.0,0
F&F,24159,7.15,3.42,11571,1.93,1600
한화시스템,10697,0.0,1.52,0,1.54,250
HD현대일렉트릭,22854,18.59,3.67,4514,0.6,500
쌍용C&E,3172,23.54,1.89,254,7.36,440
롯데지주,100489,11.73,0.28,2387,5.36,1500
LS,144965,5.38,0.6,16306,1.77,1550
현대해상,53896,4.38,0.58,7099,6.32,1965
CJ,191537,15.61,0.49,6023,2.66,2500
DB하이텍,37784,4.63,1.57,12858,2.18,1300
현대차우,0,0.0,0.0,0,6.55,7050
CJ대한통운,179031,13.77,0.63,8190,0.44,500
호텔신라,14543,0.0,4.46,0,0.31,200
팬오션,8404,3.73,0.56,1267,3.18,150
농심,398464,20.24,1.02,20081,1.23,5000
GS리테일,39627,58.99,0.59,395,1.85,430
한전기술,14284,133.69,4.42,472,0.45,283
한미사이언스,10673,34.06,3.22,1010,0.58,200
키움증권,183566,5.11,0.5,17919,3.28,3000
한화생명,9020,3.19,0.3,855,0.0,0
휠라홀딩스,31226,6.77,1.24,5720,4.08,1580
BGF리테일,55724,12.09,2.43,11203,3.03,4100
제일기획,11967,10.59,1.69,1913,5.68,1150
한솔케미칼,70184,14.47,2.91,14099,1.03,2100
BNK금융지주,30468,2.97,0.23,2404,8.77,625
LG화학우,0,0.0,0.0,0,3.37,10050
한국가스공사,118693,1.42,0.21,17317,0.0,0
아모레G,44015,41.63,0.62,657,0.75,205
LS ELECTRIC,52919,24.31,1.41,3077,1.47,1100
씨에스윈드,21158,0.0,2.5,0,0.95,500
에스원,45045,13.1,1.3,4467,4.27,2500
LIG넥스원,42909,17.75,2.33,5641,1.5,1500
롯데쇼핑,338431,0.0,0.23,0,4.29,3300
롯데에너지머티리얼즈,31661,47.68,1.43,950,0.66,300
이마트,418373,2.0,0.18,37528,2.67,2000
JB금융지주,23551,3.45,0.44,2996,8.07,835
영원무역,64162,2.98,0.72,15377,3.33,1530
OCI홀딩스,166136,2.63,0.58,36941,2.57,2500
한화,70822,1.79,0.36,14169,2.96,750
대우건설,9040,3.7,0.5,1227,0.0,0
한올바이오파마,3319,7220.0,10.88,5,0.0,0
효성중공업,104660,183.68,1.93,1097,0.0,0
동서,15510,11.05,1.21,1701,3.89,730
KCC,695902,46.01,0.3,4564,3.81,8000
삼아알미늄,12540,77.69,9.69,1564,0.21,250
이수페타시스,3515,17.28,7.97,1620,0.36,100
현대엘리베이,28992,23.44,1.56,1924,1.11,500
효성첨단소재,158341,13.58,2.41,28053,3.94,15000
신세계,418209,4.19,0.41,41282,2.17,3750
HL만도,45998,16.82,0.77,2096,1.42,500
현대위아,124563,24.48,0.48,2463,1.16,700
효성티앤씨,283313,140.73,1.33,2686,2.65,10000
한국앤컴퍼니,40622,9.62,0.41,1749,3.86,650
하이트진로,16906,18.2,1.35,1250,4.18,950
삼양식품,60733,19.83,3.48,10665,0.66,1400
한전KPS,27016,15.68,1.29,2226,3.74,1305
동원산업,69698,5.78,0.48,5748,3.31,1100
금호타이어,3920,0.0,1.37,0,0.0,0
HD현대인프라코어,8273,6.63,0.93,1163,3.11,240
오뚜기,528433,4.75,0.72,80501,2.36,9000
종근당,51191,18.34,2.37,6625,0.82,1000
롯데정밀화학,90075,10.26,0.65,5738,5.94,3500
대한전선,7000,67.39,1.73,180,0.0,0
KG모빌리티,5846,0.0,1.37,0,0.0,0
에스디바이오센서,28794,1.33,0.42,8997,8.25,990
DL이앤씨,114397,3.81,0.34,10130,2.59,1000
두산퓨얼셀,7988,482.98,2.84,47,0.0,0
두산,132422,0.0,0.67,0,2.24,2000
효성,128334,87.91,0.54,786,6.51,4500
SK가스,260823,5.45,0.6,28644,4.16,6500
에스엘,35492,9.18,0.87,3360,1.94,600
코스모화학,6020,113.37,6.2,329,0.0,0
DGB금융지주,31812,3.73,0.27,2266,7.68,650
GS건설,56917,4.06,0.29,3997,8.0,1300
TCC스틸,8127,42.7,6.51,1239,0.23,120
LX세미콘,58432,5.92,1.46,14368,5.29,4500
롯데칠성,150133,11.58,0.98,12754,2.23,3300
덴티움,43354,12.33,2.84,9980,0.24,300
녹십자,116367,20.19,1.0,5735,1.51,1750
SK네트웍스,10311,14.46,0.55,395,2.1,120
솔루엠,5958,28.09,4.5,954,0.0,0
코스맥스,51220,63.76,2.29,1838,0.0,0
대덕전자,17302,7.42,1.53,3570,1.51,400
대웅제약,54929,27.86,1.94,3816,0.56,600
현대백화점,209760,7.78,0.24,6593,2.53,1300
한샘,28093,0.0,1.78,0,1.6,800
롯데웰푸드,228909,20.21,0.54,6160,1.85,2300
코오롱인더,94856,7.16,0.45,5934,3.06,1300
LX인터내셔널,62867,2.07,0.47,14325,10.14,3000
후성,3882,11.39,3.07,1047,0.17,20
SK케미칼,124642,6.51,0.52,9910,2.33,1500
한국콜마,29024,0.0,1.66,0,1.04,500
코리안리,19585,8.07,0.4,965,5.52,430
SK리츠
대한유화,301477,0.0,0.54,0,0.61,1000
풍산,67365,5.87,0.56,6395,2.66,1000
영원무역홀딩스,176464,2.02,0.44,37988,3.97,3050
이수스페셜티케미컬,0,0.0,0.0,0,0.0,0
대웅,19933,7.02,0.87,2467,0.58,100
HDC현대산업개발,43919,19.95,0.35,764,3.94,600
DL,194062,17.88,0.25,2679,2.09,1000
롯데렌탈,35333,10.55,0.77,2577,3.31,900
영풍,2272640,2.51,0.24,213453,1.87,10000
오리온홀딩스,35982,8.99,0.43,1712,4.55,700
SK오션플랜트,9783,31.05,1.66,524,0.0,0
명신산업,7315,11.24,2.51,1633,0.0,0
동원시스템즈,25113,13.29,1.31,2472,1.83,600
해성디에스,26311,5.95,2.12,9376,1.61,900
HD현대건설기계,80387,7.85,0.6,6112,3.65,1750
더존비즈온,15301,44.16,1.95,676,0.41,123
세아베스틸지주,52580,9.82,0.48,2572,4.75,1200
PI첨단소재,11627,19.46,2.61,1557,2.57,779
미래에셋생명,10179,11.34,0.49,441,0.0,0
KG스틸,16907,1.64,0.52,5357,1.71,150
TKG휴켐스,19290,10.06,1.11,2132,4.66,1000
한일시멘트,20910,11.12,0.6,1138,4.58,580
제주항공,3986,0.0,2.85,0,0.0,0
하나투어,7960,0.0,6.85,0,0.0,0
일진하이솔루스,8667,123.45,2.76,194,0.0,0
한세실업,13687,9.92,1.58,2182,2.31,500
제이알글로벌리츠
율촌화학,13460,0.0,2.53,0,0.74,250
SK디스커버리,153209,2.03,0.29,21631,3.86,1700
아이에스동서,46278,4.22,0.59,6426,0.0,0
솔루스첨단소재,15536,0.0,1.53,0,0.42,100
넥센타이어,16520,0.0,0.52,0,1.17,100
더블유게임즈,43874,0.0,1.04,0,1.32,600
DI동일,31182,11.29,1.02,2803,0.79,250
GKL,6183,0.0,2.13,0,0.0,0
NHN,49179,0.0,0.47,0,0.0,0
LG전자우,0,0.0,0.0,0,1.61,750
세아제강지주,372105,2.8,0.52,68897,1.17,2250
미원상사,70659,11.14,2.33,14752,0.91,1500
다우기술,53655,2.04,0.33,8634,3.4,600
아시아나항공,9289,20.98,1.12,498,0.0,0
세방전지,91306,17.13,0.6,3222,1.09,600
OCI,0,0.0,0.0,0,0.0,0
롯데리츠
드림텍,6133,11.58,1.82,965,1.79,200
한국단자,84382,15.56,0.87,4723,0.95,700
비에이치,17692,4.82,1.24,4551,1.14,250
ESR켄달스퀘어리츠
한화투자증권,7273,0.0,0.48,0,0.0,0
롯데관광개발,3223,0.0,3.06,0,0.0,0
동양생명,12252,9.66,0.37,475,0.0,0
대신증권,40616,8.23,0.35,1750,8.33,1200
롯데손해보험,1451,0.0,1.61,0,0.0,0
대상,37616,8.93,0.55,2306,3.88,800
SK디앤디,31414,10.41,1.02,3084,2.49,800
대한해운,4912,4.33,0.45,507,0.0,0
HSD엔진,3099,0.0,3.14,0,0.0,0
녹십자홀딩스,23095,20.32,0.64,727,2.03,300
CJ CGV,5510,0.0,1.02,0,0.0,0
DN오토모티브,101507,3.25,0.67,20987,3.67,2500
미원에스씨,75680,10.52,1.8,12932,1.69,2300
신풍제약,6690,0.0,1.91,0,0.0,0
JW중외제약,10660,21.98,2.74,1331,1.28,375
태광산업,4906107,1.48,0.12,406090,0.29,1750
경동나비엔,35820,12.23,1.27,3707,1.1,500
보령,7833,15.09,1.23,636,1.04,100
KCC글라스,90484,6.99,0.46,5894,5.83,2400
한국카본,9394,26.28,1.32,471,1.05,130
진에어,2116,0.0,5.65,0,0.0,0
SNT모티브,66442,6.57,0.64,6470,3.76,1600
흥아해운,544,27.18,4.7,94,0.0,0
현대지에프홀딩스,20860,5.88,0.18,640,5.59,210
동원F&B,45847,6.7,0.69,4711,2.22,701
삼성화재우,0,0.0,0.0,0,7.3,13805
삼양홀딩스,240995,7.58,0.29,9173,5.04,3500
F&F홀딩스,52493,4.49,0.29,3384,2.3,350
신세계인터내셔날,23264,5.01,0.71,3313,3.01,500
동아쏘시오홀딩스,157100,52.3,0.59,1784,1.61,1500
애경케미칼,15115,9.74,0.8,1249,4.52,550
쿠쿠홀딩스,31140,4.4,0.53,3755,4.85,800
프레스티지바이오파마
자화전자,17892,0.0,1.45,0,0.0,0
교보증권,24572,7.4,0.21,681,3.97,200
신한알파리츠
NICE평가정보,5732,10.66,1.64,882,3.94,370
신영증권,188226,5.08,0.32,11893,6.62,4000
케이씨텍,20995,9.96,1.28,2692,0.93,250
LX홀딩스,21133,3.31,0.34,2190,4.28,310
동국제강,0,0.0,0.0,0,0.0,0
SPC삼립,48007,9.56,1.31,6568,2.71,1700
엠씨넥스,17477,23.28,1.72,1293,1.66,500
유안타증권,8081,12.97,0.34,209,4.06,110
빙그레,65119,18.8,0.84,2905,2.75,1500
SNT다이내믹스,29430,15.74,0.55,1027,3.09,500
삼부토건,975,0.0,2.69,0,0.0,0
현대홈쇼핑,171103,5.81,0.26,7541,5.93,2600
쏘카,7565,0.0,2.11,0,0.0,0
케이카,5112,17.12,2.11,631,7.04,760
LS전선아시아,4898,0.0,3.46,0,1.47,250
미래에셋증권2우B,0,0.0,0.0,0,5.41,200
쿠쿠홈시스,31261,4.46,0.73,5118,3.06,700
NICE,21230,13.33,0.64,1012,3.04,410
KG케미칼,11474,1.55,0.63,4677,1.38,100
동아에스티,78380,36.61,0.74,1576,1.21,700
SK렌터카,11371,22.93,0.92,457,1.43,150
송원산업,28443,3.74,0.72,5497,2.43,500
애경산업,13672,29.27,1.35,632,1.68,310
유니드,135798,4.86,0.53,14826,2.77,2000
한섬,60819,3.51,0.32,5599,3.81,750
화승엔터프라이즈,8870,0.0,0.89,0,0.57,45
일진전기,9304,19.75,1.39,653,1.01,130
고려제강,64024,5.86,0.3,3242,1.58,300
한화손해보험,1426,2.17,2.82,1856,0.0,0
SBS,46405,2.91,0.54,8623,3.98,1000
코람코라이프인프라리츠
티웨이항공,371,0.0,6.13,0,0.0,0
일동제약,7140,0.0,2.31,0,0.0,0
삼양사,136968,6.42,0.32,6872,2.83,1250
STX,1647,0.0,11.07,0,0.0,0
바이오노트,15707,1.28,0.27,3277,11.67,490
SGC에너지,48174,3.67,0.62,8093,5.72,1700
이노션,21241,12.1,1.01,1765,10.07,2150
세아홀딩스,530930,3.37,0.2,31597,3.76,4000
신영증권우,0,0.0,0.0,0,6.72,4050
서연이화,26709,7.63,0.59,2060,0.95,150
롯데정보통신,28084,13.52,0.97,2015,2.57,700
부광약품,3845,0.0,1.53,0,0.0,0
E1,249560,2.49,0.24,24536,5.9,3600
아세아시멘트,24770,6.51,0.43,1631,2.12,225
풀무원,11212,0.0,0.96,0,0.94,102
엘브이엠씨홀딩스
한국자산신탁,7620,3.72,0.43,885,6.69,220
유진투자증권,10623,25.06,0.4,168,1.43,60
HDC,44094,0.0,0.15,0,3.67,250
LF,51612,2.56,0.27,5351,5.11,700
삼화콘덴서,21828,13.57,1.77,2840,1.3,500
화신,10839,5.06,1.05,2254,0.88,100
신성이엔지,1036,11.5,1.86,168,0.0,0
삼성SDI우,0,0.0,0.0,0,0.44,1080
LX하우시스,87146,0.0,0.5,0,0.46,200
KB스타리츠
삼천리,410695,6.63,0.23,14387,3.14,3000
삼성FN리츠
유나이티드제약,22971,7.77,1.03,3058,1.68,400
현대그린푸드,0,0.0,0.0,0,0.0,0
코리아써키트,20204,6.48,0.8,2507,0.0,0
LS네트웍스,7510,0.0,0.64,0,0.0,0
맵스리얼티1
아세아제지,89799,3.99,0.47,10540,2.38,1000
광동제약,12593,12.14,0.57,588,1.4,100
대상홀딩스,20315,11.8,0.5,868,2.64,270
한진,96471,7.54,0.26,3290,2.42,600
세아제강,296062,2.29,0.44,56889,4.6,6000
영진약품,491,0.0,4.08,0,0.0,0
아모레퍼시픽우,0,0.0,0.0,0,1.97,685
풍산홀딩스,99583,4.77,0.36,7614,3.58,1300
남해화학,10670,7.36,0.68,986,1.38,100
BGF,16528,15.22,0.23,247,2.93,110
대신증권우,0,0.0,0.0,0,9.07,1250
한화리츠
현대퓨처넷,6836,0.0,0.47,0,2.79,90
KISCO홀딩스,75645,3.82,0.29,5760,2.73,600
국도화학,99565,4.56,0.39,8626,3.56,1400
퍼시스,52783,47.37,0.58,646,3.59,1100
아세아,548397,3.58,0.3,46012,2.28,3750
한일홀딩스,46069,3.93,0.25,2904,7.02,800
효성화학,36068,0.0,2.56,0,0.0,0
백광산업,4741,15.87,1.64,491,0.77,60
대원제약,11967,10.5,1.32,1510,2.21,350
파미셀,1328,31.87,4.37,182,0.0,0
대동,15973,7.57,0.86,1812,0.73,100
DB,1492,57.47,1.16,30,0.0,0
STX중공업,6770,24.1,1.77,498,0.0,0
이아이디,1584,0.0,0.88,0,0.0,0
조광피혁,106403,29.48,0.47,1706,0.0,0
신도리코,109950,6.58,0.3,5007,4.55,1500
HL홀딩스,102608,103.98,0.32,314,6.13,2000
에어부산,1086,0.0,2.6,0,0.0,0
남양유업,1079345,0.0,0.42,0,0.22,1000
HJ중공업,4624,0.0,0.85,0,0.0,0
이리츠코크렙
한화3우B,0,0.0,0.0,0,5.59,800
SK증권,1525,29.57,0.45,23,0.74,5
콘텐트리중앙,9617,0.0,1.73,0,0.0,0
이수화학,11236,13.73,1.25,1019,3.57,500
한국쉘석유,86889,11.85,2.8,20555,7.39,18000
대원강업,7802,16.74,0.65,304,1.96,100
한국토지신탁,4503,11.75,0.28,106,7.22,90
웅진씽크빅,3142,100.37,0.86,27,4.06,110
CR홀딩스,21609,5.2,0.31,1279,6.77,450
서흥,37893,8.82,0.71,3056,1.48,400
대한제강,38135,1.99,0.34,6605,5.94,780
농심홀딩스,231914,8.92,0.28,7353,3.81,2500
CJ4우(전환),0,0.0,0.0,0,3.55,2550
포스코스틸리온,57026,13.37,0.89,3785,1.73,875
남선알미늄,2376,9.85,0.99,238,0.0,0
삼진제약,20811,12.56,1.04,1728,3.69,800
서울가스,270188,13.24,0.22,4554,2.9,1750
한일현대시멘트,18827,7.9,0.83,1971,3.85,600
LG생활건강우,0,0.0,0.0,0,2.85,4050
DL건설,45294,5.51,0.3,2445,1.86,250
사조대림,67677,3.32,0.48,9689,1.09,350
알루코,2639,19.55,1.15,155,0.0,0
대한제당,5992,11.74,0.54,276,3.7,120
스카이라이프,17321,12.98,0.35,470,5.74,350
스틱인베스트먼트,6347,16.1,1.09,428,2.9,200
일성신약,60174,1.52,0.36,14122,18.63,4005
동국홀딩스,34362,2.0,0.26,4474,5.57,500
종근당홀딩스,108745,259.82,0.52,219,2.46,1400
휴스틸,16181,0.89,0.31,5675,6.9,350
지누스,31128,9.91,0.48,1512,3.54,530
일양약품,12974,14.28,1.14,1036,1.01,150
SNT홀딩스,68239,4.85,0.25,3556,4.06,700
아이마켓코리아,11376,11.83,0.73,706,7.19,600
모토닉,19912,8.54,0.42,988,4.74,400
지역난방공사,143557,0.0,0.17,0,0.0,0
KEC,1912,9.91,0.73,140,4.33,60
이연제약,13956,36.1,1.07,415,1.0,150
수산인더스트리,32090,5.5,0.61,3544,3.08,600
코오롱플라스틱,6728,7.75,1.08,939,2.47,180
한국철강,20372,3.17,0.32,2055,4.61,300
현대차증권,38617,3.27,0.22,2654,6.34,550
STX엔진,11315,0.0,1.06,0,0.0,0
신성통상,2389,3.58,0.8,533,0.0,0
이엔플러스,1107,0.0,3.61,0,0.0,0
락앤락,12030,0.0,0.52,0,31.1,1953
한국콜마홀딩스,16735,0.0,0.44,0,4.08,300
조일알미늄,1476,15.04,1.45,142,0.0,0
도화엔지니어링,7986,169.79,1.0,47,3.51,280
HD현대에너지솔루션,34065,4.41,0.7,5412,2.52,600
세진중공업,2993,22.08,1.56,212,3.21,150
YG PLUS,2248,22.79,1.85,183,0.0,0
제주은행,16243,12.94,0.51,636,1.22,100
환인제약,21845,9.02,0.65,1567,2.12,300
동화약품,13165,12.7,0.71,736,1.93,180
한국금융지주우,0,0.0,0.0,0,5.33,2362
잇츠한불,20944,0.0,0.56,0,1.27,150
조선내화,0,0.0,0.0,0,0.0,0
LG헬로비전,8077,0.0,0.41,0,3.61,120
현대차3우B,0,0.0,0.0,0,6.61,7050
에이프로젠,923,0.0,1.05,0,0.0,0
티와이홀딩스,42418,1.95,0.12,2579,2.99,150
BYC,825735,9.57,0.49,42272,0.74,3000
한농화성,9977,28.77,1.62,561,0.74,120
코오롱글로벌,22544,2.32,0.59,5710,3.01,400
삼양패키징,22869,20.41,0.69,777,4.73,750
현대코퍼레이션,36053,2.87,0.52,6554,3.19,600
한솔제지,31224,3.37,0.33,3104,6.7,700
다올투자증권,11357,3.97,0.36,1019,3.7,150
동양,4062,0.0,0.25,0,3.89,40
광주신세계,99270,4.3,0.31,7157,7.15,2200
제일약품,10837,0.0,1.53,0,0.3,50
케이씨,58058,2.22,0.31,8092,1.95,350
하나제약,15515,9.73,0.88,1405,3.73,510
롯데하이마트,55987,0.0,0.18,0,2.92,300
한미글로벌,17414,9.0,1.27,2449,2.49,550
